idxs,title,date,typ,origin,section,subject_theme,health_issue,covid,doc_cited,direct_mention,precise_mention,imprecise_mention,generic_mention,hard_soft
9728,"PORTARIA Nº 4, DE 27 DE MARÇO DE 2020",2020-04-01,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,"Rational use of personal protective equipment for coronavirus disease (‎COVID-19)‎: interim guidance, 27 February 2020",Direct,No,Yes,No,Soft norm
9729,"PORTARIA Nº 4, de 31 de março de 2020",2020-04-01,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
9729,"PORTARIA Nº 4, de 31 de março de 2020",2020-04-01,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
9729,"PORTARIA Nº 4, de 31 de março de 2020",2020-04-01,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,"Rational use of personal protective equipment for coronavirus disease (‎COVID-19)‎: interim guidance, 27 February 2020",Direct,No,Yes,No,Soft norm
9729,"PORTARIA Nº 4, de 31 de março de 2020",2020-04-01,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
9729,"PORTARIA Nº 4, de 31 de março de 2020",2020-04-01,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,,Direct,No,Yes,No,Soft norm
9778,"DECISÃO Nº 36, de 23 de março de 2020",2020-04-01,Decisão,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Regulamentação de inscrições e registros profissionais no modo remoto,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
9778,"DECISÃO Nº 36, de 23 de março de 2020",2020-04-01,Decisão,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Regulamentação de inscrições e registros profissionais no modo remoto,COVID-19,True,"Rational use of personal protective equipment for coronavirus disease (‎COVID-19)‎: interim guidance, 27 February 2020",Direct,No,Yes,No,Soft norm
9778,"DECISÃO Nº 36, de 23 de março de 2020",2020-04-01,Decisão,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Regulamentação de inscrições e registros profissionais no modo remoto,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
9853,"PORTARIA Nº 158, DE 27 DE MARÇO DE 2020",2020-04-01,Portaria,Presidência da República,S01,Suspensão de medidas administrativas para prevenção do contágio ao coronavírus,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
9879,"DECISÃO Nº 34, de 31 de março de 2020",2020-04-01,Decisão,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Abertura de Créditos Adicionais Suplementares ao Orçamento do_x000D_
Conselho Federal de Enfermagem",,True,Declaration of Pandemic Status,,,N/C,No,
9953,"RESOLUÇÃO Nº 3, DE 30 DE MARÇO DE 2020",2020-04-01,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação do prazo das medidas administrativas e de_x000D_
prestação de trabalho no modo remoto",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,Yes,No,Soft norm
10004,"RESOLUÇÃO Nº 7.653,  DE 31 DE MARÇO DE 2020",2020-04-02,Resolução,Ministério da Infraestrutura,S01,"Medidas em resposta à_x000D_
emergência de saúde pública no âmbito do_x000D_
transporte aquaviário e das instalações portuárias",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10030,"PORTARIA Nº 35, DE 18 DE MARÇO DE 2020",2020-04-02,Portaria,Ministério do Turismo,S01,"Suspensão do atendimento presencial ao público e das atividades_x000D_
presenciais",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,No,Yes,No,Soft norm
10074,"RESOLUÇÃO Nº 70, DE 20 DE MARÇO DE 2020",2020-04-02,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Anistia de multa eleitoral e devolução de valores pagos,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
10078,"PORTARIA Nº 639, DE 31 DE MARÇO DE 2020",2020-04-02,Portaria,Ministério da Saúde,S01,"Capacitação e ao cadastramento de profissionais_x000D_
da área de saúde, para o enfrentamento à_x000D_
pandemia do coronavírus",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,Yes,No,Soft norm
10118,"RESOLUÇÃO Nº 518, DE 1º DE ABRIL DE 2020",2020-04-02,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Estabelecimento de trabalho remoto,COVID-19,True,Declaration of Pandemic Status,Direct,No,No,No,Soft norm
10120,"PORTARIA Nº 156, DE 1º DE ABRIL DE 2020",2020-04-02,Portaria,Ministério da Justiça e Segurança Pública,S01,"Suspensão de prazos para contato direto com o atendente no_x000D_
Serviço de Atendimento ao Consumidor",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
10120,"PORTARIA Nº 156, DE 1º DE ABRIL DE 2020",2020-04-02,Portaria,Ministério da Justiça e Segurança Pública,S01,"Suspensão de prazos para contato direto com o atendente no_x000D_
Serviço de Atendimento ao Consumidor",COVID-19,True,WHA58.3 Revision of the International Health Regulations,Direct,Yes,No,No,Hard norm
10147,Relatório da Administração de 2019 (*),2020-04-02,Relatórios,Ministério da Infraestrutura,S01,Planejamento Estratégico e relatório da administração,,True,Declaration of Pandemic Status,,,N/C,No,
10151,"PORTARIA Nº 54, DE 1º DE ABRIL DE 2020",2020-04-02,Portaria,Ministério da Cidadania,S01,Oferta dos serviços e atividades essenciais de assistência,COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
10167,"PORTARIA Nº 193, DE 1º DE ABRIL DE 2020",2020-04-02,Portaria,Ministério do Turismo,S01,Alteração de prazos do trabalho remoto,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10279,DESPACHO,2020-04-02,Despacho,"Ministério da Ciência, Tecnologia, Inovações e Comunicações",S01,Aprovação de orçamento,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10282,"PORTARIA  Nº 3, DE 25 DE MARÇO DE 2020",2020-04-03,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Suspensão de prazos do Plenário do_x000D_
CAU/MG",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,Yes,No,Soft norm
10282,"PORTARIA  Nº 3, DE 25 DE MARÇO DE 2020",2020-04-03,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Suspensão de prazos do Plenário do_x000D_
CAU/MG",COVID-19,True,"Rational use of personal protective equipment for coronavirus disease (‎COVID-19)‎: interim guidance, 27 February 2020",Direct,No,Yes,No,Soft norm
10312,"Portaria  nº 8,  de 2 de abril de 2020",2020-04-03,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Estabelecimento de trabalho remoto,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10312,"Portaria  nº 8,  de 2 de abril de 2020",2020-04-03,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Estabelecimento de trabalho remoto,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10314,"PORTARIA  Nº 15, DE 31 DE MARÇO DE 2020",2020-04-03,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação de medidas de combate e prevenção ao_x000D_
contágio do coronavírus",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10456,"RESOLUÇÃO Nº 635, DE 2 DE ABRIL DE 2020",2020-04-03,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Suspensão de cobranças administrativas e judiciais dos_x000D_
débitos dos exercícios anteriores ao exercício de 2020",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
4984,"RESOLUÇÃO CREF8 nº 160, de 1º de fevereiro de 2021",2021-02-03,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogação de prazos da anuidade,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
5308,"RESOLUÇÃO Nº 1, DE 3 DE FEVEREIRO DE 2021",2021-02-04,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação da entrada em vigor de_x000D_
Resolução",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
5309,"INSTRUÇÃO NORMATIVA Nº 1, DE 3 DE FEVEREIRO DE 2021",2021-02-04,Instrução Normativa,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação da suspensão de prazos_x000D_
processuais e prescricionais",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
5424,"RESOLUÇÃO Nº 699, DE 28 JANEIRO DE 2021",2021-02-04,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação, até do prazo para formalização_x000D_
do pedido de ingresso",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,Yes,No,Soft norm
5424,"RESOLUÇÃO Nº 699, DE 28 JANEIRO DE 2021",2021-02-04,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação, até do prazo para formalização_x000D_
do pedido de ingresso",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
5424,"RESOLUÇÃO Nº 699, DE 28 JANEIRO DE 2021",2021-02-04,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação, até do prazo para formalização_x000D_
do pedido de ingresso",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,No,N/C,Yes,Soft norm
5424,"RESOLUÇÃO Nº 699, DE 28 JANEIRO DE 2021",2021-02-04,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Prorrogação, até do prazo para formalização_x000D_
do pedido de ingresso",COVID-19,True,,Direct,No,N/C,Yes,
5504,"PORTARIA Nº 3, de 27 de janeiro de 2021",2021-02-05,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogar o trabalho Home Office,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
5504,"PORTARIA Nº 3, de 27 de janeiro de 2021",2021-02-05,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogar o trabalho Home Office,COVID-19,True,,Direct,No,Yes,No,Soft norm
6385,"PORTARIA MC Nº 606, DE 9 DE FEVEREIRO DE 2021",2021-02-10,Portaria,Ministério da Cidadania,S01,"Calendário de pagamentos e saques_x000D_
do auxílio emergencial",COVID-19,True,COVID-19 Public Health Emergency of International Concern,Direct,Yes,No,No,Soft norm
7103,"RESOLUÇÃO Nº 684, DE 11 DE FEVEREIRO DE 2021",2021-02-17,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Suspesão de artigo de Resolução,COVID-19,True,,Direct,No,Yes,No,Soft norm
7103,"RESOLUÇÃO Nº 684, DE 11 DE FEVEREIRO DE 2021",2021-02-17,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Suspesão de artigo de Resolução,COVID-19,True,,Direct,No,Yes,No,Soft norm
7182,"RESOLUÇÃO RDC Nº 466, DE 10 DE Fevereiro DE 2021",2021-02-17,Resolução,Ministério da Saúde,S01,"Estabelece os coadjuvantes de tecnologia autorizados para uso na produção de alimentos e_x000D_
ingredientes",Other (specify),FALSE,Comitê Conjunto de Especialistas da FAO/OMS sobre Aditivos Alimentares (Joint FAO/WHO Expert Committee on Food Additives - JECFA),Direct,Yes,No,No,Soft norm
7182,"RESOLUÇÃO RDC Nº 466, DE 10 DE Fevereiro DE 2021",2021-02-17,Resolução,Ministério da Saúde,S01,"Estabelece os coadjuvantes de tecnologia autorizados para uso na produção de alimentos e_x000D_
ingredientes",Other (specify),FALSE,Comitê Conjunto de Especialistas da FAO/OMS sobre Aditivos Alimentares (Joint FAO/WHO Expert Committee on Food Additives - JECFA),Direct,Yes,No,No,Soft norm
8368,"Resolução CREF11/MS nº 241, de 22 de fevereiro de 2021",2021-02-24,Resolução,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,"Alteração de resolução sobre  pagamentos das_x000D_
anuidades",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
8706,"RESOLUÇÃO GECEX Nº 160, DE 18 DE FEVEREIRO DE 2021 (*)",2021-02-25,Resolução,Ministério da Economia,S01,Prorrogação do direito antidumping definitivo,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
8847,,2021-02-26,Balanço Patrimonial,Ministério da Economia,S01,Balanço Patrimonial,COVID-19,True,Declaration of Pandemic Status,,,Yes,No,Soft norm
9067,"RESOLUÇÃO RDC Nº 465, DE 9 DE Fevereiro DE 2021",2021-02-09,Resolução,Ministério da Saúde,S01,"Dispensa de registro e da autorização_x000D_
de uso emergencial das vacinas Covid-19",COVID-19,True,,Direct,No,No,No,Soft norm
9067,"RESOLUÇÃO RDC Nº 465, DE 9 DE Fevereiro DE 2021",2021-02-09,Resolução,Ministério da Saúde,S01,"Dispensa de registro e da autorização_x000D_
de uso emergencial das vacinas Covid-19",COVID-19,True,,Direct,No,No,No,Soft norm
9100,EXTRATO DA ATA DA ASSEMBLEIA GERAL EXTRAORDINÁRIAREALIZADA EM 2 DE FEVEREIRO DE 2021,2021-03-01,Extrato da Ata,Ministério das Comunicações,S01,Extrato de ATA,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
9149,"RESOLUÇÃO NORMATIVA ANEEL Nº 915, DE 23 DE FEVEREIRO DE 2021",2021-03-01,Resolução,Ministério de Minas e Energia,S01,"Regulamentação de lei sobre limites à exposição humana a_x000D_
campos elétricos e magnéticos",Other (specify),FALSE,,Direct,No,Yes,No,Soft norm
9149,"RESOLUÇÃO NORMATIVA ANEEL Nº 915, DE 23 DE FEVEREIRO DE 2021",2021-03-01,Resolução,Ministério de Minas e Energia,S01,"Regulamentação de lei sobre limites à exposição humana a_x000D_
campos elétricos e magnéticos",Other (specify),True,,Direct,No,No,No,Soft norm
9738,"CONSULTA PÚBLICA Nº 1.017, DE 24 DE FEVEREIRO DE 2021",2021-03-03,Consulta Pública,Ministério da Saúde,S01,Proposta de resolução sobre cultura de alimentos,Other (specify),FALSE,Joint FAO/WHO Expert Committee on Food Additives - JECFA,Direct,Yes,No,No,Soft norm
9914,"PORTARIA Nº 5, DE 1º DE MARÇO DE 2021",2021-03-04,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Regulamentação de reuniões virtuais,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
10760,Relatório da Administração,2021-03-09,Ato,Ministério da Economia,S01,"Administração e as Demonstrações Contábeis da_x000D_
Ativos S.A Securitizadora de Créditos Financeiros",COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
11269,"Portaria n° 851, de 3 de março de 2021",2021-03-11,Portaria,Ministério Público da União,S01,Instauração de Inquérito Civil Públic,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
11320,"PORTARIA Nº 11, de 2 de março de 2021",2021-03-11,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogação de trabalho Home Office,COVID-19,True,Declaration of Pandemic Status,Direct,No,Yes,No,Soft norm
11320,"PORTARIA Nº 11, de 2 de março de 2021",2021-03-11,Portaria,Entidades de Fiscalização do Exercício das Profissões Liberais,S01,Prorrogação de trabalho Home Office,COVID-19,True,,Direct,No,Yes,No,Soft norm
